   0:     Победа |     Победа
   1:  Поражение |     Победа
   2:     Победа |  Поражение
   3:     Победа |  Поражение
   4:     Победа |     Победа
   5:     Победа |  Поражение
   6:  Поражение |     Победа
   7:     Победа |     Победа
   8:     Победа |     Победа
   9:  Поражение |  Поражение
  10:  Поражение |  Поражение
  11:     Победа |     Победа
  12:  Поражение |     Победа
  13:     Победа |     Победа
  14:     Победа |  Поражение
  15:  Поражение |     Победа
  16:     Победа |     Победа
  17:  Поражение |  Поражение
  18:  Поражение |     Победа
  19:  Поражение |     Победа
  20:  Поражение |     Победа
  21:     Победа |  Поражение
  22:     Победа |     Победа
  23:  Поражение |  Поражение
  24:     Победа |  Поражение
  25:     Победа |     Победа
  26:     Победа |  Поражение
  27:     Победа |  Поражение
  28:  Поражение |     Победа
  29:     Победа |  Поражение
  30:  Поражение |  Поражение
  31:  Поражение |  Поражение
  32:  Поражение |  Поражение
  33:     Победа |     Победа
  34:  Поражение |  Поражение
  35:     Победа |  Поражение
  36:     Победа |     Победа
  37:     Победа |  Поражение
  38:  Поражение |  Поражение
  39:     Победа |  Поражение
  40:  Поражение |  Поражение
  41:     Победа |  Поражение
  42:  Поражение |     Победа
  43:  Поражение |  Поражение
  44:     Победа |  Поражение
  45:     Победа |     Победа
  46:     Победа |  Поражение
  47:     Победа |     Победа
  48:  Поражение |  Поражение
  49:     Победа |  Поражение
  50:     Победа |     Победа
  51:     Победа |  Поражение
  52:  Поражение |  Поражение
  53:  Поражение |  Поражение
  54:  Поражение |     Победа
  55:     Победа |     Победа
  56:     Победа |     Победа
  57:     Победа |     Победа
  58:     Победа |  Поражение
  59:     Победа |     Победа
  60:     Победа |  Поражение
  61:     Победа |  Поражение
  62:     Победа |  Поражение
  63:     Победа |  Поражение
  64:     Победа |  Поражение
  65:     Победа |     Победа
  66:  Поражение |     Победа
  67:     Победа |  Поражение
  68:  Поражение |     Победа
  69:  Поражение |  Поражение
  70:     Победа |  Поражение
  71:  Поражение |  Поражение
  72:  Поражение |  Поражение
  73:     Победа |     Победа
  74:     Победа |  Поражение
  75:  Поражение |  Поражение
  76:     Победа |     Победа
  77:     Победа |  Поражение
  78:  Поражение |     Победа
  79:     Победа |  Поражение
  80:     Победа |  Поражение
  81:  Поражение |     Победа
  82:     Победа |  Поражение
  83:     Победа |     Победа
  84:  Поражение |  Поражение
